Метод,Прогноз,Фактическое_значение,Абсолютная_ошибка,Относительная_ошибка_%
Экспоненциальное сглаживание,168.75608482963273,166.6752589921516,2.0808258374811146,1.2484311409284183
AR(2),171.2905795159097,166.6752589921516,4.6153205237581005,2.7690495588043014
